City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country
menongue,-14.66,17.69,55.31,44,5,3.78,AO
trinidad,-14.83,-64.9,91.4,52,20,5.82,BO
cururupu,-1.83,-44.87,86.2,55,24,6.62,BR
shakawe,-18.37,21.85,57.92,36,0,5.14,BW
ust-nera,64.57,143.2,64.54,53,0,4.21,RU
devils lake,48.11,-98.87,71.6,68,1,3.36,US
kieta,-6.22,155.63,77.25,77,95,4.27,PG
salalah,17.02,54.09,80.6,94,75,4.7,OM
mabama,-5.13,32.53,66.2,55,100,5.82,TZ
along,28.17,94.77,72.43,90,100,0.69,IN
manokwari,-0.87,134.08,79.86,68,28,5.01,ID
mersing,2.43,103.84,77,94,75,3.36,MY
dauphin,51.15,-100.05,64.4,82,40,10.29,CA
qui nhon,13.77,109.23,78.3,87,97,4.83,VN
aden,12.78,45.04,87.85,63,100,15.59,YE
balad,34.02,44.15,98.98,9,0,14.72,IQ
novo aripuana,-5.12,-60.38,95.58,34,0,3.76,BR
boulsa,12.67,-0.58,86.25,55,53,8.68,BF
namie,37.48,141,70,98,100,3.42,JP
vidim,56.41,103.11,43.3,79,0,1.59,RU
kabanjahe,3.1,98.49,75.2,100,40,3.36,ID
edson,53.58,-116.44,71.6,40,40,5.82,CA
yaounde,3.87,11.52,71.6,94,40,8.05,CM
berdigestyakh,62.1,126.7,65.52,96,100,5.99,RU
aswan,24.09,32.91,97.54,14,0,16.44,EG
santana do acarau,-3.46,-40.21,87.69,47,98,6.67,BR
koslan,63.46,48.9,60.55,66,0,6.46,RU
sobolevo,54.43,31.9,60.51,89,92,5.08,RU
dongsheng,39.82,109.98,69.58,46,2,10.76,CN
semey,50.41,80.23,71.31,55,0,7.78,KZ
satana,20.58,74.2,77.43,81,100,7.85,IN
chabahar,25.29,60.64,85.59,81,2,9.62,IR
chaihe,44.77,129.7,58.77,94,0,2.95,CN
jumla,29.27,82.18,61.3,68,100,3.36,NP
deputatskiy,69.3,139.9,61.12,79,0,2.1,RU
sernur,56.93,49.15,61.14,91,60,1.48,RU
barranca,-10.75,-77.77,65.03,70,12,10.58,PE
gizo,-8.1,156.84,80.4,83,34,16.04,SB
tiarei,-17.53,-149.33,78.8,74,20,2.24,PF
colonelganj,27.13,81.7,82.13,85,100,5.08,IN
solnechnyy,50.72,136.63,65.34,95,100,4.27,RU
la rioja,42.25,-2.5,86,42,20,4.7,ES
plettenberg bay,-34.05,23.37,59.77,88,43,6.6,ZA
nagapattinam,10.77,79.83,83.59,75,100,11.43,IN
pindiga,9.98,10.93,73.26,91,100,4.68,NG
aiea,21.38,-157.93,84.2,54,40,11.41,US
pangnirtung,66.15,-65.71,46.4,93,90,9.17,CA
tabou,4.42,-7.35,76.87,87,50,9.64,CI
khash,28.22,61.22,77.77,17,22,10,IR
kurilsk,45.23,147.88,55.22,90,59,5.01,RU
hokitika,-42.72,170.97,52.84,82,80,12.95,NZ
aksu,41.12,80.26,72.3,50,100,7.87,CN
high rock,26.62,-78.28,86,74,75,13.87,BS
babu,24.42,111.52,76.77,85,95,3.38,CN
oyotun,-6.85,-79.3,71.6,60,0,16.11,PE
hannan,34.32,135.23,77,100,100,3.36,JP
ixtapa,20.7,-105.2,90,74,40,10.29,MX
lancut,50.07,22.23,69.8,73,93,2.24,PL
otofuke,42.99,143.2,60.62,95,100,1.77,JP
amahai,-3.33,128.92,76.96,87,59,5.73,ID
centralia,46.72,-122.95,82.99,51,1,6.93,US
fairbanks,64.84,-147.72,66.2,59,1,5.82,US
umea,63.83,20.26,64.4,88,90,3.36,SE
horta,38.53,-28.63,73.4,60,75,5.82,PT
